"Datetime","probe","T","Err"
"2017-12-13 18:16:34","4","-7.9","0.54"
"2017-12-13 18:16:35","5","-7.5","0.5"
"2017-12-13 18:17:49","1","-7.7","0.46"
"2017-12-13 18:17:50","2","-7.9","0.54"
"2017-12-13 18:17:51","3","-7.9","0.54"
"2017-12-13 18:17:52","4","-7.9","0.3"
"2017-12-13 18:17:53","5","-7.8","0.4"
"2017-12-13 18:19:07","1","-7.8","0.6"
"2017-12-13 18:19:08","2","-7.7","0.46"
"2017-12-13 18:19:09","3","-7.9","0.7"
"2017-12-13 18:19:10","4","-8.2","0.4"
"2017-12-13 18:19:11","5","-7.8","0.75"
"2017-12-13 18:20:26","1","-7.9","0.54"
"2017-12-13 18:20:27","2","-8.0","0.63"
"2017-12-13 18:20:28","3","-8.0","0.45"
"2017-12-13 18:20:29","4","-7.9","0.54"
"2017-12-13 18:20:30","5","-7.9","0.3"
"2017-12-13 18:21:44","1","-7.9","0.54"
"2017-12-13 18:21:45","2","-8.2","0.75"
"2017-12-13 18:21:46","3","-7.8","0.6"
"2017-12-13 18:21:47","4","-7.8","0.4"
"2017-12-13 18:21:48","5","-7.6","0.49"
"2017-12-13 18:23:02","1","-7.7","0.78"
"2017-12-13 18:23:03","2","-7.9","0.3"
"2017-12-13 18:23:04","3","-7.8","0.87"
"2017-12-13 18:23:05","4","-8.0","0.45"
"2017-12-13 18:23:06","5","-7.8","0.6"
"2017-12-13 18:24:21","1","-7.7","0.64"
"2017-12-13 18:24:22","2","-7.5","0.5"
"2017-12-13 18:24:23","3","-7.9","0.54"
"2017-12-13 18:24:24","4","-7.9","0.54"
"2017-12-13 18:24:25","5","-7.9","0.3"
"2017-12-13 18:25:39","1","-7.7","0.46"
"2017-12-13 18:25:40","2","-7.8","0.4"
"2017-12-13 18:25:41","3","-7.6","0.49"
"2017-12-13 18:25:42","4","-8.0","0.45"
"2017-12-13 18:25:43","5","-7.7","0.46"
"2017-12-13 18:26:57","1","-7.7","0.64"
"2017-12-13 18:26:58","2","-7.7","0.46"
"2017-12-13 18:26:59","3","-8.0","0.45"
"2017-12-13 18:27:00","4","-8.0","0.45"
"2017-12-13 18:27:01","5","-8.0","0.45"
"2017-12-13 18:28:15","1","-7.6","0.49"
"2017-12-13 18:28:16","2","-7.7","0.46"
"2017-12-13 18:28:17","3","-7.9","0.3"
"2017-12-13 18:28:19","4","-7.8","0.4"
"2017-12-13 18:28:20","5","-7.9","0.54"
"2017-12-13 18:29:34","1","-7.8","0.4"
"2017-12-13 18:29:35","2","-7.6","0.49"
"2017-12-13 18:29:36","3","-7.7","0.64"
"2017-12-13 18:29:37","4","-7.9","0.94"
"2017-12-13 18:29:38","5","-7.8","0.6"
"2017-12-13 18:30:52","1","-7.7","0.78"
"2017-12-13 18:30:53","2","-7.5","0.5"
"2017-12-13 18:30:54","3","-7.7","0.46"
"2017-12-13 18:30:55","4","-7.5","0.5"
"2017-12-13 18:30:56","5","-7.8","0.4"
"2017-12-13 18:32:10","1","-7.9","0.54"
"2017-12-13 18:32:11","2","-7.8","0.4"
"2017-12-13 18:32:12","3","-7.9","0.7"
"2017-12-13 18:32:13","4","-7.9","0.7"
"2017-12-13 18:32:14","5","-7.8","0.4"
"2017-12-13 18:36:28","1","-7.8","0.6"
"2017-12-13 18:36:29","2","-7.6","0.49"
"2017-12-13 18:36:30","3","-8.1","0.3"
"2017-12-13 18:36:31","4","-7.7","0.46"
"2017-12-13 18:36:32","5","-8.0","0.45"
"2017-12-13 18:37:46","1","-7.8","0.6"
"2017-12-13 18:37:47","2","-7.7","0.46"
"2017-12-13 18:37:48","3","-7.6","0.49"
"2017-12-13 18:37:49","4","-7.9","0.3"
"2017-12-13 18:37:50","5","-7.5","0.67"
"2017-12-13 18:39:05","1","-7.6","0.49"
"2017-12-13 18:39:06","2","-7.6","0.49"
"2017-12-13 18:39:07","3","-7.8","0.4"
"2017-12-13 18:39:08","4","-8.1","0.54"
"2017-12-13 18:39:09","5","-7.5","0.5"
"2017-12-13 18:40:23","1","-7.8","0.4"
"2017-12-13 18:40:24","2","-7.9","0.3"
"2017-12-13 18:40:25","3","-7.6","0.49"
"2017-12-13 18:40:26","4","-7.7","0.46"
"2017-12-13 18:40:27","5","-7.9","0.7"
"2017-12-13 18:41:41","1","-7.7","0.64"
"2017-12-13 18:41:42","2","-7.6","0.49"
"2017-12-13 18:41:43","3","-7.8","0.4"
"2017-12-13 18:41:44","4","-7.4","0.49"
